date,name,rank,nationality,branch,age,country,province,where,source,cause,state,city,state_pop_2010
2005-05-02,"Hinz, Kelly C.",Captain,United States,U.S. Marine,30,Iraq,Karbala,Karbala (15 mi. SW of),non-hostile,jet crash,Minnesota,Woodbury,5303925
2005-05-01,"Lutters, Derrick Joseph",Sergeant,United States,U.S. Army National Guard,24,Iraq,Baghdad,Baghdad (South of),hostile,hostile fire - suicide car bomb,Colorado,Burlington,5029196
2005-04-30,"Garcia-Arana, Juan de Dios",Staff Sergeant,United States,U.S. Army,27,Iraq,Anbar,Khaldiyah (near Fallujah),hostile,hostile fire - small arms fire,California,Los Angeles,37253956
2005-04-30,"Parker, Kenya A.",Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Baghdad,non-hostile,illness,Alabama,Fairfield,4779736
2005-04-29,"Gadsden, Clifford V. ""CC""",2nd Lieutenant,United States,U.S. Army,25,Iraq,Salah ad Din,"Taji (5 mi. North of, NW of Baghdad)",hostile,hostile fire - suicide car bomb,South Carolina,Red Top,4625364
2005-04-29,"Frank, Stephen W.",Captain,United States,U.S. Army,29,Iraq,Anbar,Diyarah (30 mi. S of Baghdad),hostile,hostile fire - suicide car bomb,Michigan,Lansing,9883640
2005-04-29,"Harting III, Ralph J. ""Jay""",Captain,United States,U.S. Army,28,Iraq,Anbar,Diyarah (30 mi. S of Baghdad),hostile,hostile fire - suicide car bomb,Michigan,Union Lake,9883640
2005-04-29,"Deblanc, Darren A.",Private 1st Class,United States,U.S. Army,20,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,Indiana,Evansville,6483802
2005-04-29,"Cooper Jr., Charles S.",Private,United States,U.S. Army,19,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,New York,Jamestown,19378102
2005-04-28,"Kiser, Timothy Craig",Sergeant,United States,U.S. Army National Guard,37,Iraq,Kirkuk,Riyadh (near Hawijah),hostile,hostile fire - ied attack,California,Tehama,37253956
2005-04-28,"Morris, Eric Wayne",Sergeant,United States,U.S. Army,31,Iraq,Ninewa,Tall Afar,hostile,hostile fire - ied attack,Nevada,Sparks,2700551
2005-04-28,"Edens, William A.",1st Lieutenant,United States,U.S. Army,29,Iraq,Ninewa,Tall Afar,hostile,hostile fire - ied attack,Missouri,Columbia,5988927
2005-04-28,"Rockholt Jr., Ricky W.",Specialist,United States,U.S. Army,28,Iraq,Ninewa,Tall Afar,hostile,hostile fire - ied attack,Oregon,Winston,3831074
2005-04-28,"Murray Jr., Robert W.",Private 1st Class,United States,U.S. Army,21,Iraq,Ninewa,Tall Afar,hostile,hostile fire - ied attack,Indiana,Westfield,6483802
2005-04-27,"Tremblay, Joseph S.",Corporal,United States,U.S. Marine Reserve,23,Iraq,Anbar,Hit (near),hostile,hostile fire - ied attack,New York,New Windsor,19378102
2005-04-26,"Rice, David L.",Specialist,United States,U.S. Army,22,Iraq,Diyala,Muqdadiyah (near),non-hostile,vehicle accident,Iowa,Sioux City,3046355
2005-04-25,"Millsap, Timmy J.",1st Sergeant,United States,U.S. Army,39,Iraq,Baghdad,Baghdad (military hospital),hostile,hostile fire - ied attack,Kansas,Wichita,2853118
2005-04-24,"Walters Jr., Gary W.",Corporal,United States,U.S. Army,31,Iraq,Baghdad,Baghdad (eastern part),hostile,hostile fire - ied attack,Texas,Victoria,25145561
2005-04-23,"Prince, Kevin William",Corporal,United States,U.S. Army,22,Iraq,Baghdad,Baghdad (military hospital),hostile,hostile fire - ied attack,Ohio,Plain City,11536504
2005-04-23,"Kent, Aaron A.",Seaman,United States,U.S. Navy,28,Iraq,Anbar,Fallujah,hostile,hostile fire - ied attack,Oregon,Portland,3831074
2005-04-23,"Davis Jr., Anthony J.",Sergeant,United States,U.S. Army,22,Iraq,Ninewa,Mosul,hostile,hostile fire - car bomb,California,Long Beach,37253956
2005-04-22,"Colburn, Gavin J.",Private 1st Class,United States,U.S. Army Reserve,20,Iraq,Ninewa,Tall Afar (North of),hostile,hostile fire - ied attack,Ohio,Frankfort,11536504
2005-04-21,"Guy, Robert A. ""Bobby""",Private 1st Class,United States,U.S. Marine,26,Iraq,Anbar,Camp Delta (near Karmah),non-hostile,weapon discharge (suicide),Maryland,Willards,5773552
2005-04-20,"Cannan, Kelly M.",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,New York,Lowville,19378102
2005-04-20,"Mortenson, Marty G.",Lance Corporal,United States,U.S. Marine,22,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Arizona,Flagstaff,6392017
2005-04-19,"Pfister, Jacob M.",Corporal,United States,U.S. Army,27,Iraq,Baghdad,Baghdad (near airport road),hostile,hostile fire - suicide car bomb,New York,Buffalo,19378102
2005-04-19,"Wessel, Kevin S. K.",Private 1st Class,United States,U.S. Army,20,Iraq,Baghdad,Baghdad (near airport road),hostile,hostile fire - suicide car bomb,Oregon,Newport,3831074
2005-04-18,"Huff, Sam W.",Private 1st Class,United States,U.S. Army,18,Iraq,Baghdad,Baghdad (military hospital),hostile,hostile fire - ied attack,Arizona,Tucson,6392017
2005-04-18,"Thornton, Steven W.",Major,United States,U.S. Army,46,Iraq,NA,Camp Arifjan,non-hostile,illness - sudden collapse,Oregon,Eugene,3831074
2005-04-17,"Sirko, Steven F.",Private 1st Class,United States,U.S. Army,20,Iraq,Diyala,Muqdadiyah,non-hostile,accidental overdose,Indiana,Portage,6483802
2005-04-17,"Knott, Joseph L.",Private,United States,U.S. Army,21,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,Arizona,Yuma,6392017
2005-04-16,"Hudson, Aaron M.",Private,United States,U.S. Army,20,Iraq,Baghdad,Baghdad (military hospital),hostile,hostile fire - ied attack,Texas,Highland Village,25145561
2005-04-16,"Lozada Jr., Angelo L.",Sergeant,United States,U.S. Army,36,Iraq,Anbar,Ramadi (at Camp Ramadi),hostile,hostile fire - mortar attack,New York,Brooklyn,19378102
2005-04-16,"Toy Sr., Tromaine K.",Sergeant,United States,U.S. Army,24,Iraq,Anbar,Ramadi (at Camp Ramadi),hostile,hostile fire - mortar attack,Virginia,Eastville,8001024
2005-04-16,"Stevens, Randy Lee",Specialist,United States,U.S. Army,21,Iraq,Anbar,Ramadi (at Camp Ramadi),hostile,hostile fire - mortar attack,Michigan,Swartz Creek,9883640
2005-04-15,"Ramirezgonzalez, Aleina",Specialist,United States,U.S. Army,33,Iraq,Salah ad Din,Tikrit (near),hostile,hostile fire - mortar attack,Puerto Rico,Hormigueros,NA
2005-04-14,"Edge, James C.",Captain,United States,U.S. Marine,31,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,Virginia,Virginia Beach,8001024
2005-04-13,"Lindemuth, Michael B.",Corporal,United States,U.S. Marine Reserve,27,Iraq,Anbar,Camp Hit (NW of Ramadi),hostile,hostile fire - mortar attack,Michigan,Petoskey,9883640
2005-04-12,"Dickens, Tyler J.",Corporal,United States,U.S. Army,20,Iraq,NA,"Brooke Army Med Center, TX",hostile,hostile fire - rpg attack (?),Georgia,Columbus,9687653
2005-04-12,"Miller, John W.",Sergeant,United States,U.S. Army National Guard,21,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,Iowa,West Burlington,3046355
2005-04-12,"Lopez III, Manuel",Corporal,United States,U.S. Army,20,Iraq,Baghdad,Baghdad,hostile,hostile fire - rpg attack,Florida,Cape Coral,18801310
2005-04-09,"LaWare, Casey M.",Private 1st Class,United States,U.S. Army,19,Iraq,NA,Landstuhl Reg. Med. Ctr.,non-hostile,building fire,California,Redding,37253956
2005-04-08,"Davis, Kevin Dewayne",Staff Sergeant,United States,U.S. Army National Guard,41,Iraq,Salah ad Din,Balad (military hospital),hostile,hostile fire - ied attack,Oregon,Lebanon,3831074
2005-04-07,"Venegas, Juan C.",Lance Corporal,United States,U.S. Marine,21,Iraq,Anbar,Fallujah,hostile,vehicle accident,California,Simi Valley,37253956
2005-04-05,"Watkins, Glenn J.",Corporal,United States,U.S. Army National Guard,42,Iraq,Baghdad,Baghdad (southern part) (Dora),hostile,hostile fire - car bomb,California,Carlsbad,37253956
2005-04-05,"Garcia, Javier J.",Sergeant,United States,U.S. Army,25,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Florida,Crawfordville,18801310
2005-04-04,"Kinchen, Jeremiah C.",Lance Corporal,United States,U.S. Marine Reserve,22,Iraq,Anbar,Al Anbar Province,hostile,hostile fire - explosion,Alaska,Salcha,710231
2005-04-04,"Dill, Christopher W.",Staff Sergeant,United States,U.S. Army Reserve,32,Iraq,Diyala,Balad Ruz (South of),hostile,hostile fire - small arms fire,New York,Tonawanda,19378102
2005-04-04,"Kennedy, Stephen C.",Sergeant 1st Class,United States,U.S. Army National Guard,35,Iraq,Diyala,Balad Ruz (South of),hostile,hostile fire - small arms fire,Tennessee,Oak Ridge,6346105
2005-04-03,"Sherrill, James Alexander",Sergeant,United States,U.S. Army National Guard,27,Iraq,Salah ad Din,Bayji (near),hostile,hostile fire - ied attack,Kentucky,Ekron,4339367
2005-04-03,"Richardson, William D.",Corporal,United States,U.S. Army,23,Iraq,Baghdad,Baghdad,hostile,drowning,California,Moreno Valley,37253956
2005-04-02,"Dengkhim, Tenzin",Lance Corporal,United States,U.S. Marine,19,Iraq,Anbar,Haditha,hostile,hostile fire - explosion,Virginia,Falls Church,8001024
2005-04-02,"Tavae Jr., Ioasa F.",Staff Sergeant,United States,U.S. Army,29,Iraq,Ninewa,Tall Afar (near Mosul),hostile,hostile fire - small arms fire,American Samoa,Pago Pago,NA
2005-04-01,"Rimes, Garrywesley Tan",Corporal,United States,U.S. Marine,30,Iraq,Anbar,Ramadi,hostile,hostile fire,California,Santa Maria,37253956
2005-03-31,"McNary, Robbie D.",Sergeant 1st Class,United States,U.S. Army National Guard,42,Iraq,Kirkuk,Hawijah (near),hostile,unspecified injury,Montana,Lewistown,989415
2005-03-30,"Wells Jr., Charles G.",Warrant Officer,United States,U.S. Marine Reserve,32,Iraq,Anbar,Al Qaim (near) (near Syrian border),hostile,hostile fire - mine,Alabama,Montgomery,4779736
2005-03-30,"Morris, Kelly S.",Sergeant,United States,U.S. Army,24,Iraq,Baghdad,Baghdad (eastern part),hostile,hostile fire - sniper fire,Idaho,Boise,1567582
2005-03-30,"Ridgley, Kenneth L.",Sergeant,United States,U.S. Army,30,Iraq,Ninewa,Mosul (northern part),hostile,hostile fire - small arms fire,Illinois,Olney,12830632
2005-03-30,"Toth, Eric L.",Specialist,United States,U.S. Army National Guard,21,Iraq,Baghdad,Baghdad,hostile,hostile fire - car bomb,Kentucky,Edmonton,4339367
2005-03-28,"Lee, Samuel S.",Private 1st Class,United States,U.S. Army,19,Iraq,Anbar,Ramadi,non-hostile,suicide,California,Anaheim,37253956
2005-03-26,"Godbolt, Lee M.",Sergeant,United States,U.S. Army National Guard,23,Iraq,Baghdad,Baghdad (Southwest part),hostile,hostile fire - car bomb,Louisiana,New Orleans,4533372
2005-03-26,"Sinclair, Isiah J.",Sergeant,United States,U.S. Army National Guard,31,Iraq,Baghdad,Baghdad (Southwest part),hostile,hostile fire - car bomb,Louisiana,Natchitoches,4533372
2005-03-25,"Richardson, Bryan J.",Corporal,United States,U.S. Marine Reserve,23,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,West Virginia,Summersville,1852994
2005-03-23,"Bruce, Travis R.",Corporal,United States,U.S. Army,22,Iraq,Baghdad,Baghdad (southern part),hostile,hostile fire - mortar attack,Minnesota,Rochester/Byron,5303925
2005-03-21,"Smith, Kevin S.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Al Qaim,hostile,hostile fire,Ohio,Springfield,11536504
2005-03-20,"Thomason III, Paul W.",Sergeant,United States,U.S. Army National Guard,37,Iraq,Kirkuk,Kirkuk (near),hostile,hostile fire - ied attack,Tennessee,Talbot,6346105
2005-03-20,"Martinez, Francisco G.",Specialist,United States,U.S. Army,20,Iraq,Anbar,Ramadi (Tamin Distr.),hostile,hostile fire - small arms fire,Texas,Fort Worth,25145561
2005-03-19,"Hughes, Jonathan A.",Sergeant,United States,U.S. Army National Guard,21,Iraq,Baghdad,Baghdad (International Airport),hostile,hostile fire - ied attack,Kentucky,Lebanon,4339367
2005-03-18,"Lewis Jr., Lee A.",Private 1st Class,United States,U.S. Army,28,Iraq,Baghdad,Baghdad (Sadr City),hostile,hostile fire - small arms fire,Virginia,Norfolk,8001024
2005-03-16,"Payne, Rocky D.",Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Baghdad (military hospital),hostile,hostile fire - ied attack,Utah,Howell,2763885
2005-03-15,"Heltzel, Paul M.",Sergeant,United States,U.S. Army National Guard,39,Iraq,Baghdad,Baghdad,hostile,hostile fire - car bomb,Louisiana,Baton Rouge,4533372
2005-03-15,"Kieffer, Ricky A.",Staff Sergeant,United States,U.S. Army National Guard,36,Iraq,Baghdad,Baghdad,hostile,hostile fire - small arms fire,Michigan,Ovid,9883640
2005-03-14,"Torrence, Joshua L.",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Fallujah,hostile,hostile fire,South Carolina,Lexington,4625364
2005-03-11,"Wilson, Nicholas E.",Specialist,United States,U.S. Army,21,Iraq,Anbar,Ramadi,non-hostile,vehicle accident,Arizona,Glendale,6392017
2005-03-11,"Griffith Jr., Donald D.",Staff Sergeant,United States,U.S. Army,29,Iraq,Ninewa,Tall Afar (near Mosul),hostile,hostile fire - car bomb,Iowa,Mechanicsville,3046355
2005-03-09,"Koch, Matthew A.",Specialist,United States,U.S. Army,23,Iraq,Salah ad Din,Taji (Northwest of Baghdad),hostile,hostile fire - ied attack,New York,West Henrietta,19378102
2005-03-07,"Bossert, Andrew L.",Sergeant,United States,U.S. Army,24,Iraq,Anbar,Ramadi,hostile,hostile fire - car bomb,Wisconsin,Fountain City,5686986
2005-03-07,"Franklin, Michael W.",Private 1st Class,United States,U.S. Army,22,Iraq,Anbar,Ramadi,hostile,hostile fire - car bomb,Pennsylvania,Coudersport,12702379
2005-03-04,"Solorio, Juan M.",Staff Sergeant,United States,U.S. Army,32,Iraq,Ninewa,Mosul,hostile,hostile fire - ied attack,Texas,Dallas,25145561
2005-03-04,"McGowan, Stephen M.",Corporal,United States,U.S. Army,26,Iraq,Anbar,Ramadi (Tamin Distr.),hostile,hostile fire - ied attack,Delaware,Newark,897934
2005-03-04,"Twyman, Wade Michael",Specialist,United States,U.S. Army,27,Iraq,Anbar,Ramadi (Tamin Distr.),hostile,hostile fire - ied attack,California,Vista,37253956
2005-03-04,"Eacho, Donald W.",Sergeant 1st Class,United States,U.S. Army,38,Iraq,Anbar,Ramadi (Tamin Distr.),hostile,hostile fire - ied attack,Wisconsin,Black Creek,5686986
2005-03-04,"Grimes, Sean",Captain,United States,U.S. Army,31,Iraq,Anbar,Ramadi (Tamin Distr.),hostile,hostile fire - ied attack,Michigan,Southfield,9883640
2005-03-04,"Salem, Adriana N.",Specialist,United States,U.S. Army,21,Iraq,Salah ad Din,Remagen (near Tikrit),non-hostile,vehicle accident,Illinois,Elk Grove Village,12830632
2005-03-04,"Garceau, Seth K.",Sergeant,United States,U.S. Army National Guard,27,Iraq,NA,Landstuhl Reg. Med. Ctr.,hostile,hostile fire - ied attack,Iowa,Oelwein,3046355
2005-03-02,"Pugh, Robert Shane",Sergeant,United States,U.S. Army National Guard,25,Iraq,Babil,Iskandariyah (near),hostile,hostile fire - ied attack,Mississippi,Meridian,2967297
2005-03-02,"Ali, Azhar",Specialist,United States,U.S. Army National Guard,27,Iraq,Baghdad,Baghdad (central part),hostile,hostile fire - ied attack,New York,Flushing,19378102
2005-03-02,"Lwin, Wai Pyoe",Specialist,United States,U.S. Army National Guard,27,Iraq,Baghdad,Baghdad (central part),hostile,hostile fire - ied attack,New York,Queens,19378102
2005-03-01,"Robles, Lizbeth",Sergeant,United States,U.S. Army,31,Iraq,Salah ad Din,Tikrit (228th Cmd. Spt. Hospital),non-hostile,vehicle accident,Puerto Rico,Vega Baja,NA
2005-02-28,"Negron, Julio E.",Sergeant,United States,U.S. Army,28,Iraq,Salah ad Din,Bayji (near),non-hostile,vehicle accident,Florida,Pompano Beach,18801310
2005-02-27,"Anderson, Danny L.",Private 1st Class,United States,U.S. Army,29,Iraq,Baghdad,Baghdad (southern part),hostile,hostile fire - small arms fire,Texas,Corpus Christi,25145561
2005-02-27,"Gienau, Richard Brian",2nd Lieutenant,United States,U.S. Army National Guard,29,Iraq,Anbar,Btwn. Karbala & Ramadi,hostile,hostile fire - ied attack,Iowa,Longview,3046355
2005-02-26,"Nowacki, Andrew W.",Lance Corporal,United States,U.S. Marine Reserve,24,Iraq,Babil,Babil Province,hostile,hostile fire - ied attack,Ohio,South Euclid,11536504
2005-02-26,"Choi, Min-su",Private 1st Class,United States,U.S. Army,21,Iraq,Diyala,Abirta (East of Baghdad),hostile,hostile fire - ied attack,New Jersey,River Vale,8791894
2005-02-26,"Giles, Landon S.",Private,United States,U.S. Army,19,Iraq,Diyala,Abirta (East of Baghdad),hostile,hostile fire - ied attack,Pennsylvania,Indiana,12702379
2005-02-25,"Moski, Jason L.",Specialist,United States,U.S. Army,24,Iraq,Salah ad Din,Tarmiya (12 mi. North of Baghdad),hostile,hostile fire - ied attack,South Carolina,Blackville/Wagener,4625364
2005-02-25,"Brewer, Adam Noel",Specialist,United States,U.S. Army,22,Iraq,Salah ad Din,Tarmiya (12 mi. North of Baghdad),hostile,hostile fire - ied attack,Oklahoma,Dewey/Bartlesville,3751351
2005-02-25,"Farnan, Colby M.",Private 1st Class,United States,U.S. Army,22,Iraq,Salah ad Din,Tarmiya (12 mi. North of Baghdad),hostile,hostile fire - ied attack,Missouri,Weston,5988927
2005-02-25,"Henry, Chassan S.",Private 1st Class,United States,U.S. Army,20,Iraq,Anbar,Ramadi,hostile,hostile fire - explosion,Florida,West Palm Beach,18801310
2005-02-24,"Palmatier, Jacob C.",Corporal,United States,U.S. Army,29,Iraq,Diyala,Muqdadiyah (near),hostile,hostile fire - ied attack,Illinois,Springfield,12830632
2005-02-24,"Gresham, Daniel G.",Staff Sergeant,United States,U.S. Army,23,Iraq,Salah ad Din,Samarra (North of),hostile,hostile fire - ied attack,Illinois,Lincoln,12830632
2005-02-24,"Crackel, Alexander B.",Staff Sergeant,United States,U.S. Army,31,Iraq,Anbar,Al Anbar Province,hostile,hostile fire - small arms fire,Unknown,"Wilstead, nr. Bedford",NA
2005-02-24,"Deem, Michael S.",Specialist,United States,U.S. Army,35,Iraq,Baghdad,Baghdad,non-hostile,illness - enlarged heart,Florida,Rockledge,18801310
2005-02-23,"Steffeney, Eric M.",Staff Sergeant,United States,U.S. Army,28,Iraq,Salah ad Din,Tuz Khurmatu (near),hostile,hostile fire - ied attack,Iowa,Waterloo,3046355
2005-02-23,"Olivier, Nicholas J.",Sergeant,United States,U.S. Army National Guard,26,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Louisiana,Ruston,4533372
2005-02-22,"Aston, Trevor D.",Lance Corporal,United States,U.S. Marine Reserve,32,Iraq,Anbar,Haditha,non-hostile,vehicle accident,Texas,Austin,25145561
2005-02-21,"Timmerman, Jason G.",1st Lieutenant,United States,U.S. Army National Guard,24,Iraq,Baghdad,Baghdad (southern part) (Dora),hostile,hostile fire - ied attack,Minnesota,Cottonwood/Tracy,5303925
2005-02-21,"Day, David F.",Staff Sergeant,United States,U.S. Army National Guard,25,Iraq,Baghdad,Baghdad (southern part) (Dora),hostile,hostile fire - ied attack,Minnesota,Saint Louis Park,5303925
2005-02-21,"Lhotka, Jesse M.",Sergeant,United States,U.S. Army National Guard,24,Iraq,Baghdad,Baghdad (southern part) (Dora),hostile,hostile fire - ied attack,Minnesota,Alexandria,5303925
2005-02-21,"Olson, John T.",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,Illinois,Elk Grove Village,12830632
2005-02-19,"Trahan, Seth R.",Sergeant,United States,U.S. Army National Guard,20,Iraq,Baghdad,Baghdad,hostile,hostile fire - ied attack,Louisiana,Crowley,4533372
2005-02-19,"Malson, Adam",1st Lieutenant,United States,U.S. Army,23,Iraq,Baghdad,Baghdad,hostile,hostile fire - suicide bomber,Michigan,Rochester Hills,9883640
2005-02-19,"Clarke, Kevin Michael",Corporal,United States,U.S. Marine,21,Iraq,Anbar,Al Qaim (near) (near Syrian border),hostile,hostile fire,Illinois,Tinley Park,12830632
2005-02-19,"Gertson, Clinton R.",Specialist,United States,U.S. Army,26,Iraq,Ninewa,Mosul,hostile,hostile fire - small arms fire,Texas,Houston,25145561
2005-02-18,"Gil, Carlos J.",Sergeant,United States,U.S. Army,30,Iraq,Wasit,Humainiyah,hostile,hostile fire - ied attack,Florida,Orlando,18801310
2005-02-17,"Hernandez, Frank B.",Sergeant,United States,U.S. Army,21,Iraq,Ninewa,Tall Afar (near),hostile,hostile fire - ied attack,Arizona,Phoenix,6392017
2005-02-16,"Carter, Justin B.",Specialist,United States,U.S. Army,21,Iraq,Salah ad Din,FOB McKenzie (Samarra),non-hostile,unspecified cause,Missouri,Mansfield,5988927
2005-02-16,"Bell-Johnson, Katrina Lani",Specialist,United States,U.S. Army,32,Iraq,Diyala,Ba'qubah (near),non-hostile,vehicle accident,South Carolina,Orangeburg,4625364
2005-02-16,"Rahaim, Joseph A.",Sergeant,United States,U.S. Army National Guard,22,Iraq,Babil,Iskandariyah (near),non-hostile,vehicle accident,Mississippi,Laurel,2967297
2005-02-16,"Osbey, Timothy R.",Sergeant,United States,U.S. Army National Guard,34,Iraq,Babil,Iskandariyah (near),non-hostile,vehicle accident,Mississippi,Magnolia,2967297
2005-02-16,"Plumondore, Adam J.",Sergeant,United States,U.S. Army,22,Iraq,Ninewa,Mosul,hostile,hostile fire - car bomb,Oregon,Gresham,3831074
2005-02-16,"Hendrix, Jason R.",Staff Sergeant,United States,U.S. Army,28,Iraq,Anbar,Ramadi,hostile,hostile fire - explosion,California,Freedom,37253956
2005-02-16,"Pusateri, Christopher M.",Sergeant,United States,U.S. Army,21,Iraq,Ninewa,Mosul,hostile,hostile fire - small arms fire,New York,Corning,19378102
2005-02-15,"Arciola, Michael A.",Private 1st Class,United States,U.S. Army,20,Iraq,Anbar,Ramadi,hostile,hostile fire - small arms fire,New York,Elmsford,19378102
2005-02-14,"Salie, David J.",Sergeant 1st Class,United States,U.S. Army,34,Iraq,Diyala,Ba'qubah (near),hostile,hostile fire - ied attack,Georgia,Columbus,9687653
2005-02-13,"Rangel, Ray",Staff Sergeant,United States,U.S. Air Force,29,Iraq,Salah ad Din,Balad (near),non-hostile,vehicle accident (drowning),Texas,San Antonio,25145561
2005-02-13,"Lake, Chad W.",Sergeant,United States,U.S. Army,26,Iraq,Salah ad Din,Balad (near),non-hostile,vehicle accident (drowning),Florida,Ocala,18801310
2005-02-13,"Knox Jr., Rene",Sergeant,United States,U.S. Army,22,Iraq,Salah ad Din,Balad (near),non-hostile,vehicle accident (drowning),Louisiana,New Orleans,4533372
2005-02-13,"Gooding, Dakotah L.",Sergeant,United States,U.S. Army,21,Iraq,Salah ad Din,Balad (near),non-hostile,vehicle accident (drowning),Iowa,Des Moines,3046355
2005-02-13,"Brangman, David J.",Private 1st Class,United States,U.S. Army,20,Iraq,Salah ad Din,"Patrol Base Uvanni, Samarra",hostile,hostile fire - mortar attack,Florida,Lake Worth,18801310
2005-02-11,"Shepherd, Kristopher L.",Staff Sergeant,United States,U.S. Army,26,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,Virginia,Lynchburg,8001024
2005-02-11,"McNail, Robert A.",Sergeant,United States,U.S. Army National Guard,30,Iraq,Babil,Iskandariyah,non-hostile,vehicle accident,Mississippi,Meridian,2967297
2005-02-10,"Robbins, William T.",Staff Sergeant,United States,U.S. Army National Guard,31,Iraq,Salah ad Din,Taji (Northwest of Baghdad),non-hostile,homicide,Arkansas,North Little Rock,2915918
2005-02-10,"Perez Jr., Richard A.",Lance Corporal,United States,U.S. Marine Reserve,19,Iraq,Anbar,Ramadi (near),non-hostile,vehicle accident,Nevada,Las Vegas,2700551
2005-02-09,"Housby, Jessica M.",Sergeant,United States,U.S. Army National Guard,23,Iraq,Salah ad Din,Balad (near),hostile,hostile fire - ied attack,Illinois,Rock Island,12830632
2005-02-08,"Henthorn, Jeffrey S.",Specialist,United States,U.S. Army,25,Iraq,Salah ad Din,"LSA Anaconda, Balad",non-hostile,weapon discharge (suicide),Oklahoma,Choctaw,3751351
2005-02-06,"Wobler, Zachary Ryan",Staff Sergeant,United States,U.S. Army,24,Iraq,Ninewa,Mosul,hostile,hostile fire - small arms fire,Ohio,Ottawa,11536504
2005-02-06,"Allmon, Jeremy O.",Specialist,United States,U.S. Army,22,Iraq,Salah ad Din,Taji (Northwest of Baghdad),hostile,hostile fire - ied attack,Texas,Cleburne,25145561
2005-02-05,"Wichlacz, Travis M.",Lance Corporal,United States,U.S. Marine Reserve,22,Iraq,Babil,Babil Province (northern part),hostile,hostile fire,Wisconsin,West Bend,5686986
2005-02-04,"Torres, Daniel",Sergeant,United States,U.S. Army,23,Iraq,Salah ad Din,Bayji (near),hostile,hostile fire - ied attack,Texas,Fort Worth,25145561
2005-02-04,"Bayow, Steven G.",Staff Sergeant,United States,U.S. Army,42,Iraq,Salah ad Din,Bayji (near),hostile,hostile fire - ied attack,Unknown,Colonia Yap,NA
2005-02-03,"Clifton, Richard C.",Lance Corporal,United States,U.S. Marine,19,Iraq,Anbar,Ramadi,hostile,hostile fire,Delaware,Milford,897934
2005-02-03,"Cooley, Sean Michael",Sergeant 1st Class,United States,U.S. Army National Guard,35,Iraq,Babil,Babil Province (northern part),hostile,hostile fire - ied attack,Mississippi,Ocean Springs,2967297
2005-02-03,"Sherman, Stephen R.",Sergeant,United States,U.S. Army,27,Iraq,Ninewa,Mosul (south of),hostile,hostile fire - ied attack,New Jersey,Neptune,8791894
2005-02-02,"Maher, Sean P.",Lance Corporal,United States,U.S. Marine,19,Iraq,Anbar,Fallujah (near),hostile,hostile fire,Illinois,Grayslake,12830632
2005-02-02,"Brock, Sean Lee",Captain,United States,U.S. Marine,29,Iraq,Anbar,Ramadi,hostile,hostile fire,California,Redondo Beach,37253956
2005-02-01,"Hendrickson, Robert T.",Specialist,United States,U.S. Army,24,Iraq,Baghdad,Baghdad,non-hostile,vehicle accident,Oklahoma,Broken Bow,3751351
2005-01-31,"Swain IV, Harry R.",Lance Corporal,United States,U.S. Marine,21,Iraq,Babil,Babil Province (northern part),hostile,hostile fire - ied attack,New Jersey,Cumberland,8791894
2005-01-31,"Redifer, Jason C.",Lance Corporal,United States,U.S. Marine,19,Iraq,Babil,Babil Province (northern part),hostile,hostile fire - ied attack,Virginia,Stuarts Draft,8001024
2005-01-31,"Zimny, Christopher E.",Corporal,United States,U.S. Marine,27,Iraq,Babil,Babil Province (northern part),hostile,hostile fire - ied attack,Illinois,Cook,12830632
2005-01-31,"Warren, Mark C.",Sergeant 1st Class,United States,U.S. Army National Guard,44,Iraq,Kirkuk,Kirkuk Air Base,non-hostile,unspecified cause,Oregon,La Grande,3831074
2005-01-30,"Miller IV, James H.",Private 1st Class,United States,U.S. Army,22,Iraq,Anbar,Ramadi,hostile,hostile fire - ied attack,Ohio,Cincinnati,11536504
2005-01-30,"Serrano, Nazario",Lance Corporal,United States,U.S. Marine,20,Iraq,Anbar,Al Anbar Province,hostile,hostile fire,Texas,Irving,25145561
2005-01-29,"James, Lindsey T.",Sergeant,United States,U.S. Army,23,Iraq,Baghdad,Baghdad (western part),hostile,hostile fire - ied attack,Missouri,Urbana,5988927
